question,answer,category
Does this project work on macOS or Linux?,"Yes. The project works on macOS and Linux. Use python3 instead of py when running commands on those systems.",Setup
Do I need to install TensorFlow or PyTorch?,No. This project does not use TensorFlow, PyTorch, SciPy, or NumPy. It only requires streamlit, rapidfuzz, and pandas.,Setup
Why is the chatbot giving wrong answers?,This can happen if your question is very different from the available FAQs. Try rephrasing your question using keywords related to the topic you want help with.,Troubleshooting
Why is the app not starting?,Make sure all dependencies are installed by running py -m pip install -r requirements.txt and that you are running the command from inside the project folder.,Troubleshooting
Why is my chat not being saved?,Check that the data folder exists in the project directory. The chatbot creates it automatically on first launch. Make sure you have write permission in the project folder.,Troubleshooting
How do I fix a module not found error?,Run py -m pip install -r requirements.txt to install all missing packages. Make sure you are using the same Python environment where streamlit is installed.,Troubleshooting
What should I do if the page shows an error?,Try refreshing the browser. If the error persists check the terminal where you ran streamlit for detailed error messages and contact support if needed.,Troubleshooting
What is CodeAlpha's AI internship task list?,"The four main internship tasks are: Task 1 is Language Translation Tool, Task 2 is AI FAQ Chatbot, Task 3 is AI Music Generation, and Task 4 is Object Detection System.",Internship
How do I become a good software engineer?,"To become a strong software engineer, focus on mastering data structures, algorithms, clean code practices, version control with Git, and building real projects consistently.",Career
What skills do I need to learn for AI and machine learning?,"To learn AI and machine learning, focus on Python programming, mathematics including linear algebra and statistics, libraries like scikit-learn and pandas, and build hands-on projects.",Career
How can I improve my programming skills?,Practice coding daily on platforms like LeetCode and HackerRank. Build personal projects, contribute to open source, read clean code books, and review other people's code regularly.,Career
What is a good career path in technology?,Popular technology career paths include software engineering, data science, machine learning engineering, DevOps, cybersecurity, mobile development, and cloud architecture.,Career
How do I prepare for a technical job interview?,"Study data structures and algorithms, practice coding problems daily, prepare system design basics, review your projects, and do mock interviews with peers or platforms like Pramp.",Career
What is object detection?,Object detection is a computer vision technique that identifies and locates objects within images or video frames. It draws bounding boxes around detected objects and labels them.,AI Concepts
What is a language translation tool?,A language translation tool converts text from one language to another using translation APIs or models. It helps bridge communication gaps across different languages.,AI Concepts
What is AI music generation?,AI music generation uses machine learning models to compose original music automatically. It can generate melodies, rhythms, and harmonies in various styles without human input.,AI Concepts
What is a chatbot?,A chatbot is a software application that simulates human conversation. It can answer questions, provide support, and complete tasks using rule-based logic or AI-powered matching.,AI Concepts
